model,threshold,accuracy,precision,recall,f1,f2
gru,0.31,0.7934970820239852,0.6400316455696202,0.4119144602851324,0.5012391573729864,0.44353070175438597
gru,0.32,0.7967677804142884,0.6572731040198923,0.40376782077393075,0.5002365557483047,0.43751724137931036
gru,0.33,0.798178669915988,0.6685369011653,0.39434826883910384,0.49607686148919133,0.42958566753563704
gru,0.34,0.7994612967357148,0.68,0.38518329938900203,0.4917926214854543,0.42175391648547694
gru,0.35,0.8007439235554416,0.6913752913752914,0.3775458248472505,0.4883912399143751,0.4152433219465756
gru,0.36,0.8025396011030591,0.704578313253012,0.37219959266802444,0.48708978843911377,0.4109743070782032
gru,0.37,0.8031167831719361,0.7134328358208956,0.365071283095723,0.482990906028966,0.4045818756348042
gru,0.38,0.8033733085358815,0.7196738022426096,0.3594704684317719,0.4794567062818336,0.39945682924069253
gru,0.39,0.8036939652408132,0.7258989056800417,0.35463340122199594,0.47648366683769455,0.3950428223016278
gru,0.4,0.8030526518309498,0.7278043593833068,0.34852342158859473,0.4713375796178344,0.38907520036378107
gru,0.41,0.8029885204899635,0.7323561346362649,0.3434317718940937,0.46759098786828424,0.38424290759940755
gru,0.42,0.8027319951260181,0.7366666666666667,0.3375763747454175,0.46298882681564246,0.3785975331201462
gru,0.43,0.8022189443981274,0.7411428571428571,0.33019348268839105,0.45685100387460376,0.37137784904363763
gru,0.44,0.8018982876931957,0.7454651843183148,0.3243380855397149,0.4520134823487671,0.36565065151254234
gru,0.45,0.8012569742833323,0.7480550568521843,0.3182281059063136,0.44650830505447403,0.359546683541391
gru,0.46,0.8015134996472776,0.756940160394818,0.31237270875763745,0.4422418453775455,0.35394911440604626
gru,0.47,0.8038222279227859,0.7801418439716312,0.3080448065173116,0.44168643913122835,0.350460522504779
gru,0.48,0.8048483293785673,0.7955911823647295,0.30320773930753564,0.43907834101382487,0.3460398628624557
gru,0.49,0.8060026935163215,0.8168421052631579,0.29633401221995925,0.4348963198206613,0.3396160354787886
gru,0.5,0.8065157442442121,0.8366592756836659,0.28818737270875766,0.42870668434008713,0.3316730149428655
gru,0.55,0.8052331174244853,0.8791489361702127,0.2629837067209776,0.4048598863413678,0.30585657606442823
gru,0.6,0.7999102161226191,0.8833017077798861,0.2370162932790224,0.37374548374146926,0.27764523440295835
gru,0.65,0.7930481626370808,0.8933782267115601,0.20264765784114053,0.3303589956422494,0.23971571402758537
gru,0.7,0.7875328673122555,0.8998699609882965,0.17617107942973523,0.2946561635086225,0.2099387173108428
gru,0.75,0.7785544795741679,0.897822445561139,0.1364562118126273,0.2369060773480663,0.16432644552087805
gru,0.8,0.7646379785801322,0.8839285714285714,0.07561099796334013,0.13930581613508441,0.09253489531405783
gru,0.85,0.7560443788879625,0.9078947368421053,0.03513238289205703,0.06764705882352941,0.043494704992435705
gru,0.9,0.7507856089270827,0.9772727272727273,0.01094704684317719,0.0216515609264854,0.013645595328763646
gru,0.95,0.7481562239466427,1.0,0.0002545824847250509,0.0005090353779587681,0.0003182078533698212
transformer,0.05,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
transformer,0.1,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
transformer,0.15,0.3047521323670878,0.2500180805670066,0.880091649694501,0.38941143339904255,0.5851586038796168
transformer,0.2,0.7707945873148208,0.5396327810120913,0.6135437881873728,0.5742196807243269,0.5971850530280504
transformer,0.21,0.7940742640928622,0.5891569261377767,0.6031059063136456,0.5960498175871178,0.6002635179648305
transformer,0.22,0.8001026101455782,0.6223227752639517,0.52520366598778,0.5696534585116665,0.5421243496084511
transformer,0.23,0.8122875649329827,0.6661135081314304,0.5109470468431772,0.5783028382077511,0.5359145527369826
transformer,0.24,0.8233822869236196,0.7094932191291934,0.5061099796334012,0.5907875185735513,0.5368910014043426
transformer,0.25,0.8322965433207208,0.7487684729064039,0.5030549898167006,0.6017968631033958,0.5383902784589396
transformer,0.26,0.8423010325145899,0.8004089979550102,0.49821792260692466,0.6141534599089911,0.5389106129867269
transformer,0.27,0.8478804591804014,0.8365051903114187,0.4923625254582485,0.6198717948717949,0.5365068797159344
transformer,0.28,0.84948374270506,0.8591549295774648,0.4814154786150713,0.6170664056126611,0.5278289510411434
transformer,0.29,0.849676136728019,0.8739376770538244,0.47123217922606925,0.6123056566324843,0.5190689848569826
transformer,0.3,0.8489065606361829,0.8856722276741904,0.4595213849287169,0.6050955414012739,0.5084507042253521
transformer,0.31,0.8461489129737703,0.8926553672316384,0.4424643584521385,0.5916595744680851,0.49210034543292375
transformer,0.32,0.8433271339703713,0.9033134166214014,0.4233706720977597,0.5765297278557809,0.47370819802882697
transformer,0.33,0.8394792535111909,0.909718228867165,0.40274949083503053,0.5583200988177166,0.45326915363016446
transformer,0.34,0.8353107163470788,0.9207920792079208,0.3788187372708758,0.5367965367965368,0.4293628808864266
transformer,0.35,0.8337074328224203,0.93713163064833,0.3643075356415479,0.5246562786434463,0.41504727652416035
transformer,0.36,0.8342204835503111,0.9672929714683368,0.35386965376782076,0.5181733457595527,0.40527144439909035
transformer,0.37,0.8335150387994613,0.9770773638968482,0.34725050916496947,0.512396694214876,0.39864390928220717
