mask_type,split_num,method,method_name,variable,location,rmse,mae,r2,missing_count
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,mlotst,Roxas Polygon,0.0,0.0,1.0,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,no3,Gigantes Polygon,0.004130163957859392,0.0021610524266666665,0.5952220709239348,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,no3,Roxas Polygon,0.029874099635266247,0.01810967182142857,-0.651142406452982,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,o2,Gigantes Polygon,0.25994905413346076,0.21456291666666719,0.9676011141243606,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,o2,Roxas Polygon,0.5495870761742265,0.4340768452380921,0.9578646164433633,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,po4,Gigantes Polygon,0.0002459725990243663,0.00012465083992857176,0.9998952943445378,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,po4,Roxas Polygon,0.0055049014404401206,0.002507390144148809,0.9780953567870674,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,so,Gigantes Polygon,0.23651031791601268,0.18342259980272502,0.8314079209604572,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,so,Roxas Polygon,0.13542061323067509,0.09254374674388328,0.9586624013594683,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,thetao,Gigantes Polygon,0.18660969792859383,0.15284890271723356,0.731852742806673,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,thetao,Roxas Polygon,0.2647670066400408,0.20152679724352676,0.9636411594897171,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,uo,Gigantes Polygon,0.04240016183676749,0.031248410465195775,0.8532758258416187,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,uo,Roxas Polygon,0.049194454567360914,0.0387447010060506,0.6468484986553418,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,vo,Gigantes Polygon,0.05125907585350762,0.04109135639321589,0.30056484218243895,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,vo,Roxas Polygon,0.020182983760260592,0.015977166326982612,0.07409342600055835,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,NDVI_daily,Gigantes Polygon,0.11158932767979106,0.05480220136365444,0.6603950965441264,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,NDVI_daily,Roxas Polygon,0.020256071462362295,0.009694774122040417,0.9767779893277082,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,NDVI_raw,Gigantes Polygon,0.05868621576857475,0.04338969466505272,-0.5576741787051298,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,NDVI_raw,Roxas Polygon,0.021509301129863007,0.021509301129863007,,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,precip_mm_day,Gigantes Polygon,10.446893936349355,8.451483311595771,-0.7692519329696512,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,precip_mm_day,Roxas Polygon,6.233372321651294,3.9306088869768674,-0.037260200943278754,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,wind_speed_ms,Gigantes Polygon,1.70330706003347,1.4024004002553796,0.42464233775441873,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,wind_speed_ms,Roxas Polygon,1.2883677464507624,1.0289072675440198,-0.10207123368958704,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,wind_u_ms,Gigantes Polygon,2.2324777132518294,1.7441605887023504,0.4567852603834366,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,wind_u_ms,Roxas Polygon,1.5794672205931506,1.121289928851196,-0.14694365410914778,56
